player_name,team,position,salary_2023_24
Stephen Curry,GSW,PG,55761216
Joel Embiid,PHI,C,51415938
Nikola Jokic,DEN,C,51415938
Kevin Durant,PHX,SF,51179021
Bradley Beal,PHX,SG,50203930
Devin Booker,PHX,SG,49205800
Jaylen Brown,BOS,SF,49205800
Paul George,PHI,SG,49205800
Kawhi Leonard,LAC,SF,49205800
Karl-Anthony Towns,NYK,C,49205800
Jimmy Butler,GSW,SF,48798677
Giannis Antetokounmpo,MIL,PF,48787676
Damian Lillard,MIL,PG,48787676
LeBron James,LAL,PF,48728845
Zach LaVine,SAC,SG,44531940
Rudy Gobert,MIN,C,43827586
Anthony Davis,DAL,C,43219440
Luka Doncic,LAL,PG,43031940
Trae Young,ATL,PG,43031940
Fred VanVleet,HOU,PG,42846615
Anthony Edwards,MIN,SG,42176400
Tyrese Haliburton,IND,PG,42176400
Lauri Markkanen,UTA,PF,42176400
Pascal Siakam,IND,PF,42176400
Kyrie Irving,DAL,PG,40000000
Domantas Sabonis,SAC,PF,39200000
Darius Garland,CLE,PG,36725670
Ja Morant,MEM,PG,36725670
Zion Williamson,NOP,PF,36725670
OG Anunoby,NYK,SF,36637932
Brandon Ingram,TOR,SF,36016200
Jamal Murray,DEN,PG,36016200
Shai Gilgeous-Alexander,OKC,PG,35859950
Michael Porter Jr.,DEN,SF,35859950
Donovan Mitchell,CLE,SG,35410310
LaMelo Ball,CHA,PG,35147000
Tyrese Maxey,PHI,PG,35147000
Bam Adebayo,MIA,C,34848340
De'Aaron Fox,SAS,PG,34848340
Jayson Tatum,BOS,PF,34848340
Desmond Bane,MEM,SG,34005250
Deandre Ayton,POR,C,34005126
James Harden,LAC,SG,33653846
C.J. McCollum,NOP,SG,33333333
Julius Randle,MIN,PF,33073920
Immanuel Quickley,TOR,PG,32500000
Khris Middleton,WAS,SF,31000000
Isaiah Hartenstein,OKC,C,30000000
Jrue Holiday,BOS,PG,30000000
Jerami Grant,POR,PF,29793104
Jordan Poole,WAS,SG,29651786
Devin Vassell,SAS,SG,29347826
Kristaps Porzingis,BOS,PF,29268293
Tyler Herro,MIA,SG,29000000
Dejounte Murray,NOP,PG,28817135
Jonathan Isaac,ORL,PF,27600000
Nicolas Claxton,BKN,C,27556817
Miles Bridges,CHA,SF,27173913
John Collins,UTA,PF,26580000
Andrew Wiggins,MIA,SF,26276786
Anfernee Simons,POR,SG,25892857
R.J. Barrett,TOR,SG,25794643
Tobias Harris,DET,PF,25365854
Jaren Jackson Jr.,MEM,PF,25257798
Jalen Brunson,NYK,PG,24960001
Terry Rozier,MIA,PG,24924126
Kyle Kuzma,MIL,PF,24456060
Draymond Green,GSW,PF,24107143
DeMar DeRozan,SAC,SF,23400000
Mikal Bridges,NYK,SF,23300000
Dillon Brooks,HOU,SF,23255493
Cameron Johnson,BKN,SF,23062500
Bruce Brown Jr.,NOP,SG,23000000
Brook Lopez,MIL,C,23000000
Aaron Gordon,DEN,PF,22841455
Kentavious Caldwell-Pope,ORL,SG,22757000
Jaden McDaniels,MIN,PF,22586207
Malcolm Brogdon,WAS,PG,22500000
Clint Capela,ATL,C,22265280
De'Andre Hunter,CLE,SF,21696429
Lonzo Ball,CHI,PG,21395348
Marcus Smart,WAS,PG,20210285
Jarrett Allen,CLE,C,20000000
Nikola Vucevic,CHI,C,20000000
Myles Turner,IND,C,19928500
Derrick White,BOS,PG,19821429
Jakob Poeltl,TOR,C,19500000
Duncan Robinson,MIA,SF,19406000
Norman Powell,LAC,SG,19241379
Keldon Johnson,SAS,SF,19000000
D'Angelo Russell,BKN,PG,18692307
Collin Sexton,UTA,PG,18150000
Josh Hart,NYK,SG,18144000
Jusuf Nurkic,CHA,C,18125000
Harrison Barnes,SAS,PF,18000000
Patrick Williams,CHI,PF,18000000
Malik Monk,SAC,SG,17405203
Bogdan Bogdanovic,LAC,SG,17260000
Luguentz Dort,OKC,SG,17000000
Rui Hachimura,LAL,PF,17000000
Kevin Huerter,CHI,SG,16830357
Zach Collins,CHI,C,16741200
Caris LeVert,ATL,SG,16615384
Tim Hardaway Jr.,DET,SG,16193183
Klay Thompson,DAL,SG,15873016
Grayson Allen,PHX,SG,15625000
Deni Avdija,POR,SF,15625000
PJ Washington,DAL,PF,15500000
Max Strus,CLE,SG,15212068
Isaiah Stewart,DET,C,15000000
Dorian Finney-Smith,LAL,PF,14924167
Mitchell Robinson,NYK,C,14318182
Jordan Clarkson,UTA,SG,14092577
Onyeka Okongwu,ATL,C,14000000
Naz Reid,MIN,C,13986432
Cade Cunningham,DET,PG,13940809
Daniel Gafford,DAL,C,13394160
Dennis Schröder,DET,PG,13025250
Grant Williams,CHA,PF,13025250
Isaiah Joe,OKC,SG,12991650
Herb Jones,NOP,SF,12976362
Austin Reaves,LAL,SG,12976362
Obi Toppin,IND,PF,12975000
Cole Anthony,ORL,PG,12900000
De'Anthony Melton,BKN,SG,12822000
Kelly Olynyk,NOP,PF,12804878
Victor Wembanyama,SAS,C,12768960
Josh Green,CHA,SG,12654321
Richaun Holmes,WAS,C,12648321
Steven Adams,HOU,C,12600000
Bobby Portis,MIL,PF,12578286
Zaccharie Risacher,ATL,SF,12569040
Marvin Bagley III,MEM,PF,12500000
Brandon Clarke,MEM,PF,12500000
Jalen Green,HOU,SG,12483048
Robert Williams III,POR,C,12428571
Paolo Banchero,ORL,PF,12160800
Coby White,CHI,PG,12000000
Wendell Carter Jr.,ORL,C,11950000
Ivica Zubac,LAC,C,11743210
Donte DiVincenzo,MIN,SG,11445000
Brandon Miller,CHA,SF,11424600
Terance Mann,ATL,SG,11423077
Alex Sarr,WAS,PF,11245680
Evan Mobley,CLE,PF,11227657
Larry Nance Jr.,ATL,PF,11205000
Matisse Thybulle,POR,SG,11025000
Maxi Kleber,LAL,PF,11000000
Aaron Nesmith,IND,SF,11000000
Gabe Vincent,LAL,PG,11000000
Moritz Wagner,ORL,C,11000000
Chris Paul,SAS,PG,10983000
Aaron Wiggins,OKC,SG,10981303
Chet Holmgren,OKC,C,10880640
Chris Boucher,TOR,PF,10810000
Jarred Vanderbilt,LAL,PF,10714286
Scoot Henderson,POR,PG,10259160
Isaac Okoro,CLE,SG,10185186
Scottie Barnes,TOR,PF,10130980
Reed Sheppard,HOU,SG,10098960
Mike Conley,MIN,PG,9975962
Jonas Valanciunas,SAC,C,9900000
Alex Caruso,OKC,SG,9890000
Jabari Smith Jr.,HOU,PF,9770880
Derrick Jones Jr.,LAC,SF/PF,9523810
Al Horford,BOS,C,9500000
T.J. McConnell,IND,PG,9500000
Pat Connaughton,MIL,SG,9423869
Royce O'Neale,PHX,SF,9375000
Luke Kennard,MEM,SG,9250000
Amen Thompson,HOU,PG,9249960
Jalen Suggs,ORL,SG,9188385
Caleb Martin,DAL,SF,9186594
Gary Payton II,GSW,PG,9130000
Stephon Castle,SAS,PG,9105120
Tre Jones,CHI,PG,9104167
Goga Bitadze,ORL,C,9057971
Zeke Nnaji,DEN,PF,8888889
Keegan Murray,SAC,PF,8809560
Kyle Anderson,MIA,PF,8780488
Buddy Hield,GSW,SG,8780488
Naji Marshall,DAL,SF,8571429
Jalen Smith,CHI,PF,8571429
Georges Niang,ATL,PF,8500000
Ausar Thompson,DET,SG,8376000
Josh Giddey,CHI,SG,8352367
Josh Okogie,CHA,SG,8250000
Ron Holland II,DET,SF,8245320
Cody Martin,PHX,SF,8120000
Jeff Green,HOU,PF,8000000
Jock Landale,HOU,C,8000000
Kevon Looney,GSW,C,8000000
Trey Lyles,SAC,PF,8000000
Kelly Oubre Jr.,PHI,SF,7983000
Jaden Ivey,DET,SG,7977240
Kenyon Martin Jr.,UTA,SF,7975000
Vasilije Micic,PHX,PG,7723000
Simone Fontecchio,DET,SF,7692308
Jonathan Kuminga,GSW,PF,7636307
Anthony Black,ORL,SG,7607760
Jae’Sean Tate,HOU,SF,7565217
Gary Harris,ORL,SG,7500000
Tidjane Salaun,CHA,PF,7488720
Bennedict Mathurin,IND,SG,7245720
Max Christie,DAL,SG,7142857
Franz Wagner,ORL,SF,7007092
Ayo Dosunmu,CHI,PG,7000000
Bilal Coulibaly,WAS,SF,6945240
Donovan Clingan,POR,C,6836400
Payton Pritchard,BOS,PG,6696429
Kenrich Williams,OKC,PF,6669000
Shaedon Sharpe,POR,SG,6614160
Jevon Carter,CHI,PG,6500000
Davion Mitchell,MIA,PG,6451077
Saddiq Bey,WAS,SF,6440678
Jarace Walker,IND,PF,6362520
Rob Dillingham,MIN,PG,6262920
Dean Wade,CLE,PF,6166667
John Konchar,MEM,SG,6165000
Ziaire Williams,BKN,SF,6133005
Dyson Daniels,ATL,PG,6059520
Precious Achiuwa,NYK,PF,6000000
Malik Beasley,DET,SG,6000000
Taylor Hendricks,UTA,PF,5848680
Moses Moody,GSW,SG,5803269
Zach Edey,MEM,C,5756880
Corey Kispert,WAS,SF,5705888
Jeremy Sochan,SAS,PF,5570040
Cason Wallace,OKC,PG,5555880
Cody Williams,UTA,SG,5469120
Alperen Sengun,HOU,C,5424654
Jett Howard,ORL,SG,5278320
Haywood Highsmith,MIA,F,5200000
Matas Buzelis,CHI,SF,5195520
Kris Dunn,LAC,PG,5168000
Dario Saric,DEN,PF,5168000
Trey Murphy III,NOP,SF,5159855
Ousmane Dieng,OKC,SF,5027040
Dereck Lively II,DAL,C,5014560
Andre Drummond,PHI,C,5000000
Drew Eubanks,LAC,C,5000000
Nick Richards,PHX,C,5000000
Nikola Topic,OKC,PG,4935960
Tre Mann,CHA,PG,4908373
Jalen Williams,OKC,SF,4775760
Gradey Dick,TOR,SG,4763760
Miles McBride,NYK,PG,4710144
Devin Carter,SAC,PG,4689000
Nicolas Batum,LAC,SF,4668000
Aaron Holiday,HOU,PG,4668000
Jalen Duren,DET,C,4536840
Jordan Hawkins,NOP,SG,4525680
Jalen Johnson,ATL,SF,4510905
Bub Carrington,WAS,PG,4454880
Isaiah Jackson,IND,PF,4435381
Nickeil Alexander-Walker,MIN,SG,4312500
Ochai Agbaji,TOR,SF,4310280
Kobe Bufkin,ATL,PG,4299000
Quentin Grimes,PHI,SG,4296682
Kel'el Ware,MIA,C,4231800
Mark Williams,CHA,C,4094280
Keyonte George,UTA,SG,4084200
Cameron Thomas,BKN,SG,4041249
Jared McCain,PHI,PG,4020360
Dwight Powell,DAL,C,4000000
Day'Ron Sharpe,BKN,C,3989122
Santi Aldama,MEM,C,3960531
Amir Coffey,LAC,SG,3938271
Kevin Love,MIA,C/PF,3850000
Dalton Knecht,LAL,SF,3819120
Tari Eason,HOU,PF,3695160
Jaime Jaquez Jr.,MIA,SF,3685800
Tristan Da Silva,ORL,SF,3628440
Brandin Podziemski,GSW,SG,3519960
Dalen Terry,CHI,SG,3510480
Sviatoslav Mykhailiuk,UTA,SG,3500000
Ja'Kobe Walter,TOR,SG,3465000
Cam Whitmore,HOU,SF,3379080
Jake LaRavia,SAC,PF,3352680
Jaylon Tyson,CLE,SG,3326160
Eric Gordon,PHI,SG,3303771
Cory Joseph,ORL,PG,3303771
Russell Westbrook,DEN,PG,3303771
Noah Clowney,BKN,PF,3244080
Malaki Branham,SAS,SG,3217920
Yves Missi,NOP,C,3193200
Dante Exum,DAL,PG,3150000
Dariq Whitehead,BKN,SG,3114240
Christian Braun,DEN,SG,3089640
Johnny Juzang,UTA,SG,3087519
DaRon Holmes II,DEN,PF,3065640
Julian Champagnie,SAS,SF,3000000
Kyle Filipowski,UTA,PF,3000000
Ajay Mitchell,OKC,PG,3000000
Kris Murray,POR,PF,2990040
Walker Kessler,UTA,C,2965920
Shake Milton,LAL,SG,2875000
Olivier-Maxence Prosper,DAL,PF,2870400
Kyshawn George,WAS,SG,2825520
AJ Johnson,WAS,PG,2795294
Marcus Sasser,DET,PG,2755080
Trendon Watford,BKN,PF,2726603
Ben Sheppard,IND,SF,2663880
Blake Wesley,SAS,SG,2624280
